,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,140.0,2026-05-12 14:19:12.442730,2026-05-12 14:19:13.336445,0 days 00:00:00.893715,-49.69715572408619,49.915097831535476,64.00318534554387,68.85550787336582,73.15179830354636,65.04360756308368,-53.54697090805585,56.884713852615114,84.93015308493182,46.36126117475798,22.70721946726907,38.52087662532799,Unfeasible shape,,PRUNED
1,1,0.8759880845752995,2026-05-12 14:19:13.427841,2026-05-12 14:20:18.150871,0 days 00:01:04.723030,-77.42668158070347,35.43861070965954,42.65985470726769,27.175282055097874,22.18967420857997,52.80740823255792,-70.98088777901341,67.75606812745892,50.16357135534548,21.579130664159102,45.74811835149748,67.7476615828991,,,COMPLETE
2,2,0.8759197097684691,2026-05-12 14:20:19.502072,2026-05-12 14:21:24.425565,0 days 00:01:04.923493,-44.893989483379414,69.04229635047858,32.98586109231714,31.841282246390485,37.04531756525435,56.52221037476546,-65.01394479430493,66.93185431962269,72.13274231712495,58.673451565666085,56.14008712827747,38.59816796442412,,0.0,COMPLETE
3,3,0.8773398001782319,2026-05-12 14:21:25.616821,2026-05-12 14:22:30.597700,0 days 00:01:04.980879,-43.68488515261106,69.94094955368487,62.56193320616017,53.98427688515588,42.10033721614545,48.65948017823962,-64.75087732607402,46.72434208089418,67.93401200061929,46.53493445481476,24.229620287528956,37.22224845618103,,0.0,COMPLETE
4,4,0.875973701426225,2026-05-12 14:22:31.853346,2026-05-12 14:23:31.803695,0 days 00:00:59.950349,-47.242309390500346,82.01443625696068,28.777476363038687,36.04613720918154,32.27385138404995,28.64780499922784,-45.195167139435306,44.825672013289136,52.71359845466774,43.34550894713956,43.515024381501796,66.5196809502856,,0.0,COMPLETE
5,5,0.8765801592406923,2026-05-12 14:23:33.183652,2026-05-12 14:24:38.384580,0 days 00:01:05.200928,-61.93190367392451,45.039657861237494,66.8364299371917,81.665188895127,5.460011341596268,49.432876632546055,-47.36162417564915,71.17724404925778,67.93109115836651,37.294622959702295,39.628797723705944,27.045500223093594,,0.0,COMPLETE
6,6,0.8789152480753998,2026-05-12 14:24:39.738394,2026-05-12 14:25:46.587628,0 days 00:01:06.849234,-58.6031726308366,55.948992980330715,53.57550724046537,58.97154877911788,45.18214406150893,11.0973337094881,-25.100561313659995,38.91623597681098,53.55485789419271,51.63563175664414,23.002071432552246,38.52641732774369,,0.0,COMPLETE
7,7,0.8769908419910785,2026-05-12 14:25:47.866102,2026-05-12 14:26:56.381440,0 days 00:01:08.515338,-47.66346996382048,35.30467734753839,82.19907546198829,51.30355031980146,32.07068427406579,63.03755911202401,-62.71981111285002,46.195176977253354,61.237631822595475,17.490073806236687,17.180867102496865,39.04893900150614,,0.0,COMPLETE
8,8,0.8766624536049399,2026-05-12 14:26:57.666657,2026-05-12 14:28:05.737618,0 days 00:01:08.070961,-41.35572913900348,50.884059088178105,59.246574500058294,62.64254584918215,18.682796666208986,32.96193302340837,-54.61939959632347,44.19779726518002,52.710159223242954,89.38203213203126,40.60026691694164,29.986117155304726,,0.0,COMPLETE
9,9,0.8768120070007199,2026-05-12 14:28:06.997908,2026-05-12 14:29:16.984906,0 days 00:01:09.986998,-42.5310768018208,51.104578649764456,47.34762660288283,67.9054974656985,25.28400414223933,24.066503946990064,-28.215844102209275,40.69720266957436,60.74586422921582,76.00670235621348,38.11257441824654,14.167463399537032,,0.0,COMPLETE
