,number,value,datetime_start,datetime_complete,duration,params_highPt.lA2,params_highPt.lL1,params_highPt.lL2,params_highPt.lL3,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.lA2,params_lowPt.lL1,params_lowPt.lL2,params_lowPt.lL3,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,state
0,0,,2026-05-13 15:51:16.986473,2026-05-13 15:51:17.987003,0 days 00:00:01.000530,135.89276753940626,157.11614520900008,165.9132995972099,1.9469921241185375,-50.657153062531364,16.2800637956742,97.40942096135474,67.36683627633764,48.03627587298098,27.263565699950032,130.47122503253377,160.9023445028999,194.41418093936872,135.4327009126552,-36.60545587982148,188.52137502704736,13.102236792628212,133.7626067242306,19.73826061572143,55.992109719522325,Unfeasible shape,PRUNED
1,1,,2026-05-13 15:51:18.079754,2026-05-13 15:51:18.323201,0 days 00:00:00.243447,89.9000741869979,44.39690182249047,51.723370019611004,68.13426843376494,-29.820459645828244,15.191810511962993,57.53086547581344,34.309653907329476,14.351726497024522,23.34685597416882,105.18231237517335,48.37970052274765,174.56139433322522,164.51787754860445,-28.573165054943345,97.35049176576346,139.84435946688268,63.57149332137547,25.50912658381293,28.097771747904623,Unfeasible shape,PRUNED
2,2,,2026-05-13 15:51:18.472922,2026-05-13 15:51:18.766459,0 days 00:00:00.293537,163.1597948418685,19.296737878320304,172.65766046458174,193.65826916606898,-38.59959727237918,2.2075372946406455,173.72153200707618,58.18693146227865,37.581770276004974,40.72777401178426,89.02130916845074,57.86305611484631,137.93169682181588,145.85699474950067,-46.76284694779789,26.18732838242267,184.70925583878218,25.159350868766573,40.020210872746844,42.091702515224384,Unfeasible shape,PRUNED
3,3,,2026-05-13 15:51:18.885425,2026-05-13 15:51:19.138248,0 days 00:00:00.252823,169.92047816763647,39.39344693412267,129.10191369018006,27.53666365138833,-56.340572836275044,155.97418669376412,75.75053317657508,78.00328884956414,51.13924299658743,2.1442479243256845,123.28831619397309,185.64141699387793,87.03707837118742,15.064343207884468,-30.37809474535824,9.30926984859894,96.93114385781432,51.357848991524875,74.060685722506,33.729194879455044,Unfeasible shape,PRUNED
4,4,,2026-05-13 15:51:19.226850,2026-05-13 15:51:19.493047,0 days 00:00:00.266197,89.87590207561664,170.21477299634122,92.45034472204821,106.86128972893256,-79.12694894737433,56.02442057370775,183.5463177907345,165.7482444480143,38.83917394391111,34.39233966500518,81.69340260763862,64.15928468628567,6.895736763152927,168.75497856634837,-29.052193732737365,6.79083245083482,26.07326267261477,164.48934860864838,20.107454795573847,65.4507007293466,Unfeasible shape,PRUNED
5,5,,2026-05-13 15:51:19.590131,2026-05-13 15:51:19.852969,0 days 00:00:00.262838,113.92801277616283,134.8150340791188,125.37506089588256,129.3180803726506,-76.52972000462185,107.5107482580921,175.26163998436832,40.547089074628005,68.50349859274073,47.27270852075036,85.93887913430046,177.99680853670378,158.00723819813632,67.34414022160747,-10.15536894270879,160.2030074014626,121.10706642068274,41.78003389046209,11.671028234620588,29.956480565535845,Unfeasible shape,PRUNED
6,6,,2026-05-13 15:51:19.949369,2026-05-13 15:51:20.176849,0 days 00:00:00.227480,146.44314124593433,119.4684369857629,198.09170862300698,101.6198071148488,-71.12117219290953,117.41172197838374,141.187441143897,20.529535695371884,43.395058286905105,1.4708245762669132,115.50340618688429,71.83095976488858,152.8304114111853,110.64397421636657,-74.22810762267812,7.956257021724065,163.27755368567088,70.9226079702108,13.291419192388759,45.71792171445021,Unfeasible shape,PRUNED
7,7,,2026-05-13 15:51:20.274060,2026-05-13 15:51:20.505968,0 days 00:00:00.231908,88.37141289121544,151.90874440927908,124.94448733507407,125.83394183443944,-41.85778266224565,77.87273492101123,163.15421823044298,191.30540846197033,48.41415657264847,53.14501095385175,160.7963194588515,127.0450223861963,74.10969542071692,29.893527752655892,-16.244060450696843,114.21628055383349,112.09802583386336,93.96058266670778,6.236752355666828,40.52776427113049,Unfeasible shape,PRUNED
8,8,,2026-05-13 15:51:20.613751,2026-05-13 15:51:20.904828,0 days 00:00:00.291077,98.65394951978558,41.19923253367914,199.40012329678214,46.92823716731765,-64.17261189065437,143.5636979598225,178.27440722064406,76.65711389218895,57.12836325889542,6.238292186338473,128.81828470016956,163.95117665380764,98.72376443370264,50.59052058424335,-61.135294432180125,186.29760378144127,37.25648097654053,56.087550275488425,57.18203748614539,5.236757630510216,Unfeasible shape,PRUNED
9,9,,2026-05-13 15:51:20.994713,2026-05-13 15:51:21.209915,0 days 00:00:00.215202,118.88774415439204,66.83690189019471,117.02905877011389,69.7949510783145,-46.87571088367894,48.91008337579452,94.31495285619256,5.289072159097126,0.8118647614064417,39.295583607870796,133.1710660481359,160.71179051159686,90.34867571260347,5.269462876387184,-16.795970300149854,85.60821473790179,143.13143834834884,39.9782536868543,66.15423501755446,71.29988158583117,Unfeasible shape,PRUNED
