,number,value,datetime_start,datetime_complete,duration,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
0,0,6.40861750609087,2026-04-20 17:27:48.411300,2026-04-20 17:27:57.984002,0 days 00:00:09.572702,-62.32414449835687,40.90515355465172,94.72704278375599,30.053188850777182,45.74652123511183,18.652981569428377,-42.6360243868197,68.37679604455222,38.211078631011816,88.43819671535874,34.544738283640484,13.921351468184396,Unattained target,RandomSampler,PRUNED
1,1,0.041585686412464185,2026-04-20 17:27:58.093270,2026-04-20 17:28:08.038358,0 days 00:00:09.945088,-24.96638492073091,92.50253731583362,83.66273339129104,46.473178151289794,34.92833012982581,15.401568263143277,-41.904787458108906,26.723030210088254,60.16523175413013,90.80683495197405,39.73613224347702,14.936215201820302,,RandomSampler,COMPLETE
2,2,5.0363081588508365,2026-04-20 17:28:08.871791,2026-04-20 17:28:17.832094,0 days 00:00:08.960303,-55.83949028717463,35.30339724688437,63.05551906837333,23.256604423950513,43.44141580039209,13.89781633342679,-42.513362379399894,90.43293524790553,43.05752649800646,93.14632443764306,34.60438726864605,16.71694674592176,Unattained target,GPSampler,PRUNED
3,3,0.03896903501747673,2026-04-20 17:28:17.966740,2026-04-20 17:28:27.211582,0 days 00:00:09.244842,-28.19691024000172,36.19269682426794,28.23325718990153,86.1123969398912,43.93855985218736,26.47911358173488,-78.52926155699625,78.69931430256105,55.881038223506074,93.65092208537331,47.47073067147385,28.221436521008883,,GPSampler,COMPLETE
4,4,1.8448352308947449,2026-04-20 17:28:28.587072,2026-04-20 17:28:37.802667,0 days 00:00:09.215595,-52.50278585115485,40.679801129960715,23.117934904255833,21.515979320417397,46.964177325621776,15.487170248002933,-43.09478837574586,93.17839595520806,60.749735775403806,39.874013871424715,46.38118097473554,14.348777501612386,,GPSampler,COMPLETE
5,5,0.02055840857544311,2026-04-20 17:28:38.552473,2026-04-20 17:28:47.934890,0 days 00:00:09.382417,-61.60380455726784,27.696261011717223,81.87554128331206,11.739174809125307,49.04746294106853,19.242100591009752,-54.40725770376052,50.8454123672442,56.7041597596384,96.91778286757675,43.83819301817589,28.295566242027967,,GPSampler,COMPLETE
6,6,0.038093204634506606,2026-04-20 17:28:49.027591,2026-04-20 17:28:58.675934,0 days 00:00:09.648343,-49.291863233662525,86.72522136353382,96.31802311320287,77.4628012101334,47.82152956125272,21.620346715560355,-50.976943285916555,88.41085694875444,84.28557216748008,58.16034580215888,48.81595743524797,19.61545568618767,,GPSampler,COMPLETE
7,7,11.62319037587109,2026-04-20 17:28:59.752993,2026-04-20 17:29:04.528172,0 days 00:00:04.775179,-66.10738909370421,44.958793257387626,68.52666119351284,78.16300618510536,49.73304429993552,14.875609188391358,-55.43294035731768,41.643998309692265,97.1146078299808,60.59441692960178,42.761069236753784,12.228819795519183,Unattained target,GPSampler,PRUNED
8,8,0.036247407720825464,2026-04-20 17:29:04.703870,2026-04-20 17:29:13.933114,0 days 00:00:09.229244,-48.18832043732654,84.93172104748855,53.288582907368856,22.054283763116356,39.17966639699708,24.70233572181735,-35.37860421928967,63.24480094938366,56.15495669258696,57.50924531757185,48.19418969412501,24.28580081016682,,GPSampler,COMPLETE
9,9,6.262127735640384,2026-04-20 17:29:15.393081,2026-04-20 17:29:24.043431,0 days 00:00:08.650350,-48.021224246497155,20.598995377395152,58.999407868331446,41.54972229111059,33.318418394167004,21.52680707795825,-53.02500822197307,59.850367106526136,45.53734044277748,86.3133681491622,42.28311819294164,11.73855823880685,Unattained target,GPSampler,PRUNED
10,10,5.429896908202927,2026-04-20 17:29:24.181220,2026-04-20 17:29:33.517104,0 days 00:00:09.335884,-71.64729323663774,43.47983278970272,95.00280236485484,81.12793409701804,41.60921933679051,24.637253272309458,-41.64423833480224,11.042460722299433,48.201515459074564,56.76956672475803,32.40853490833756,26.25675438206183,Unattained target,GPSampler,PRUNED
11,11,0.058248104258158406,2026-04-20 17:29:33.660378,2026-04-20 17:29:44.415784,0 days 00:00:10.755406,-33.551522329363,24.566011409462448,46.74723631267599,47.63571832789434,32.52936890591388,25.393613650070066,-50.97155009549859,76.217081125834,26.08774410182314,11.643266367147511,43.324244017566905,26.452718408978775,,GPSampler,COMPLETE
12,12,0.02823530669176222,2026-04-20 17:29:45.874359,2026-04-20 17:29:57.371729,0 days 00:00:11.497370,-34.17517134218,75.42109164786292,34.766478708164975,78.55042011857807,42.47337962913114,28.489150322117624,-38.77813301359484,99.10872256402834,92.37571623989129,89.07059219863811,38.12037687428308,14.417746705906062,,GPSampler,COMPLETE
13,13,0.02752712128434709,2026-04-20 17:29:58.404250,2026-04-20 17:30:08.563940,0 days 00:00:10.159690,-36.325583825984886,93.09789894495621,29.255723985715022,45.63011268180311,42.166447879535035,25.699741376627543,-71.00532988929959,92.0955745923726,46.94776399450522,11.427058860991387,41.465802709071724,10.877012709320908,,GPSampler,COMPLETE
14,14,0.06039809058869494,2026-04-20 17:30:09.994439,2026-04-20 17:30:19.886335,0 days 00:00:09.891896,-71.41772712990272,49.57743667036499,18.208189419930214,98.24200852995367,41.50271499035008,29.544324517819312,-25.664318353884006,36.15217489710051,50.149919272525196,18.510421018076887,48.63684714616498,20.297166427430156,,GPSampler,COMPLETE
